"barometricPressure";"DOUBLE";"hPa";""
"discomfortIndex";"DOUBLE";"DI";""
"heatStroke";"DOUBLE";"deg";""
"humidity";"DOUBLE";"%";""
"temperature";"DOUBLE";"deg";""
